county,year,total_population,white_alone,black_alone,asian_alone,hispanic
"Broome County, NY",1990,212252,203630,4513,3750,2507
"Broome County, NY",1991,212820,203522,4856,4079,2650
"Broome County, NY",1992,213460,203489,5208,4389,2806
"Broome County, NY",1993,212756,202209,5550,4617,2982
"Broome County, NY",1994,210823,199818,5844,4766,3109
"Broome County, NY",1995,207478,196107,6092,4873,3218
"Broome County, NY",1996,204415,192635,6355,5021,3325
"Broome County, NY",1997,202053,189790,6651,5197,3455
"Broome County, NY",1998,201072,188209,7002,5425,3627
"Broome County, NY",1999,200881,187324,7379,5727,3795
"Broome County, NY",2000,200351,184691,6968,5729,4029
"Broome County, NY",2001,200868,184516,7342,5894,4335
"Broome County, NY",2002,201438,184401,7628,6097,4604
"Broome County, NY",2003,201037,183326,7868,6264,4775
"Broome County, NY",2004,200974,182376,8297,6499,5068
"Broome County, NY",2005,200477,181180,8612,6690,5354
"Broome County, NY",2006,200905,180845,8903,6887,5684
"Broome County, NY",2007,200877,180180,9260,6983,6005
"Broome County, NY",2008,201029,179531,9619,7126,6403
"Broome County, NY",2009,200935,178867,9881,7162,6679
"Broome County, NY",2010,200481,177817,10204,7254,6837
"Broome County, NY",2011,199363,176446,10186,7403,6950
"Broome County, NY",2012,198667,175264,10364,7647,7138
"Broome County, NY",2013,197914,173983,10638,7787,7401
"Broome County, NY",2014,197251,172524,11058,8002,7620
"Broome County, NY",2015,195928,170611,11258,8174,7754
"Broome County, NY",2016,194498,168608,11514,8311,7935
"Broome County, NY",2017,193100,166756,11687,8411,8198
"Broome County, NY",2018,191925,165162,11986,8392,8335
"Broome County, NY",2019,190488,163473,12116,8424,8476
"Cattaraugus County, NY",1990,84455,81500,758,319,535
"Cattaraugus County, NY",1991,84961,81895,790,328,548
"Cattaraugus County, NY",1992,85326,82150,815,353,546
"Cattaraugus County, NY",1993,85523,82246,848,362,574
"Cattaraugus County, NY",1994,85097,81754,872,370,605
"Cattaraugus County, NY",1995,85040,81624,892,373,630
"Cattaraugus County, NY",1996,85284,81774,930,377,650
"Cattaraugus County, NY",1997,84718,81119,955,387,657
"Cattaraugus County, NY",1998,84519,80858,983,394,675
"Cattaraugus County, NY",1999,84051,80321,1026,398,697
"Cattaraugus County, NY",2000,83927,79661,928,401,788
"Cattaraugus County, NY",2001,83346,78994,948,426,857
"Cattaraugus County, NY",2002,83301,78790,989,468,943
"Cattaraugus County, NY",2003,83335,78665,1026,467,970
"Cattaraugus County, NY",2004,82864,78101,1024,466,1042
"Cattaraugus County, NY",2005,82039,77234,1013,483,1086
"Cattaraugus County, NY",2006,81342,76352,1056,491,1161
"Cattaraugus County, NY",2007,81056,75966,1051,498,1220
"Cattaraugus County, NY",2008,80761,75516,1076,497,1286
"Cattaraugus County, NY",2009,80491,75112,1093,531,1368
"Cattaraugus County, NY",2010,80218,74806,1044,561,1367
"Cattaraugus County, NY",2011,79815,74312,1052,561,1415
"Cattaraugus County, NY",2012,79348,73708,1084,560,1507
"Cattaraugus County, NY",2013,78996,73191,1125,567,1489
"Cattaraugus County, NY",2014,78677,72789,1135,587,1531
"Cattaraugus County, NY",2015,77926,71942,1135,612,1581
"Cattaraugus County, NY",2016,77658,71623,1133,602,1628
"Cattaraugus County, NY",2017,77176,71017,1155,645,1623
"Cattaraugus County, NY",2018,76726,70528,1142,648,1632
"Cattaraugus County, NY",2019,76117,69919,1123,645,1635
"Cayuga County, NY",1990,82446,78766,3100,316,1184
"Cayuga County, NY",1991,82880,79046,3244,327,1252
"Cayuga County, NY",1992,82889,79228,3052,343,1161
"Cayuga County, NY",1993,82959,79277,3081,340,1199
"Cayuga County, NY",1994,82933,79229,3082,351,1220
"Cayuga County, NY",1995,82964,79217,3128,351,1246
"Cayuga County, NY",1996,82846,78777,3439,360,1392
"Cayuga County, NY",1997,82693,78575,3457,383,1420
"Cayuga County, NY",1998,82497,78260,3573,385,1484
"Cayuga County, NY",1999,82034,77773,3584,386,1507
"Cayuga County, NY",2000,81871,77029,3466,359,1613
"Cayuga County, NY",2001,81313,76547,3337,368,1590
"Cayuga County, NY",2002,81401,76590,3310,375,1618
"Cayuga County, NY",2003,81395,76515,3292,398,1674
"Cayuga County, NY",2004,81284,76385,3261,386,1702
"Cayuga County, NY",2005,81104,76078,3283,401,1757
"Cayuga County, NY",2006,80892,75738,3361,399,1791
"Cayuga County, NY",2007,80629,75437,3344,393,1849
"Cayuga County, NY",2008,80482,75158,3394,403,1879
"Cayuga County, NY",2009,80172,74759,3415,377,1899
"Cayuga County, NY",2010,79895,74446,3337,412,1905
"Cayuga County, NY",2011,79693,74120,3384,450,1957
"Cayuga County, NY",2012,79505,73930,3350,435,1961
"Cayuga County, NY",2013,79088,73535,3294,449,2017
"Cayuga County, NY",2014,78762,73033,3404,462,2148
"Cayuga County, NY",2015,78298,72468,3412,473,2162
"Cayuga County, NY",2016,77674,71794,3375,487,2213
"Cayuga County, NY",2017,77457,71468,3427,493,2289
"Cayuga County, NY",2018,77121,71064,3440,521,2360
"Cayuga County, NY",2019,76576,70523,3400,522,2401
"Chautauqua County, NY",1990,142054,138358,2566,542,4090
"Chautauqua County, NY",1991,142680,138736,2790,558,4348
"Chautauqua County, NY",1992,142603,138619,2818,562,4494
"Chautauqua County, NY",1993,143131,138930,2989,580,4750
"Chautauqua County, NY",1994,143041,138737,3081,573,4938
"Chautauqua County, NY",1995,142542,138141,3166,575,5124
"Chautauqua County, NY",1996,142476,137979,3232,587,5268
"Chautauqua County, NY",1997,141531,136961,3281,597,5414
"Chautauqua County, NY",1998,140784,136048,3458,592,5598
"Chautauqua County, NY",1999,140087,135305,3482,601,5718
"Chautauqua County, NY",2000,139593,133965,3205,539,5944
"Chautauqua County, NY",2001,138730,132885,3269,581,6107
"Chautauqua County, NY",2002,138346,132296,3273,622,6349
"Chautauqua County, NY",2003,137587,131458,3241,628,6497
"Chautauqua County, NY",2004,137174,130825,3314,626,6732
"Chautauqua County, NY",2005,136139,129633,3337,624,6816
"Chautauqua County, NY",2006,135640,128848,3375,664,7066
"Chautauqua County, NY",2007,135481,128489,3429,673,7340
"Chautauqua County, NY",2008,135229,128059,3438,722,7694
"Chautauqua County, NY",2009,135197,127673,3575,762,8113
"Chautauqua County, NY",2010,134725,127209,3549,718,8273
"Chautauqua County, NY",2011,134209,126552,3576,750,8520
"Chautauqua County, NY",2012,133304,125622,3541,782,8710
"Chautauqua County, NY",2013,132852,125021,3550,797,9075
"Chautauqua County, NY",2014,131751,123812,3487,811,9254
"Chautauqua County, NY",2015,130529,122586,3485,821,9390
"Chautauqua County, NY",2016,129206,121292,3469,831,9397
"Chautauqua County, NY",2017,128372,120409,3461,839,9590
"Chautauqua County, NY",2018,127472,119453,3493,851,9801
"Chautauqua County, NY",2019,126903,118719,3545,873,9864
"Chemung County, NY",1990,95292,88952,5443,702,1414
"Chemung County, NY",1991,95001,88648,5439,720,1369
"Chemung County, NY",1992,94954,88585,5442,728,1329
"Chemung County, NY",1993,94712,88256,5520,736,1373
"Chemung County, NY",1994,94132,87631,5557,743,1379
"Chemung County, NY",1995,93675,87138,5592,740,1378
"Chemung County, NY",1996,92972,86348,5669,747,1420
"Chemung County, NY",1997,92162,85440,5766,750,1479
"Chemung County, NY",1998,91791,85041,5774,766,1501
"Chemung County, NY",1999,91284,84475,5822,767,1549
"Chemung County, NY",2000,91094,83514,5486,730,1608
"Chemung County, NY",2001,90780,83038,5512,787,1668
"Chemung County, NY",2002,90613,82735,5522,811,1736
"Chemung County, NY",2003,90154,82125,5549,831,1798
"Chemung County, NY",2004,89777,81554,5595,875,1873
"Chemung County, NY",2005,88860,80530,5502,912,1928
"Chemung County, NY",2006,88732,80150,5625,938,2033
"Chemung County, NY",2007,88634,79800,5681,990,2097
"Chemung County, NY",2008,88503,79440,5751,1059,2122
"Chemung County, NY",2009,88849,79481,5917,1080,2249
"Chemung County, NY",2010,88895,79275,6007,1092,2264
"Chemung County, NY",2011,88899,79080,6054,1137,2359
"Chemung County, NY",2012,89137,79275,6001,1146,2525
"Chemung County, NY",2013,88199,78457,5857,1156,2512
"Chemung County, NY",2014,87177,77371,5772,1210,2523
"Chemung County, NY",2015,86705,76830,5785,1181,2581
"Chemung County, NY",2016,85644,75896,5603,1213,2536
"Chemung County, NY",2017,84736,75011,5534,1213,2627
"Chemung County, NY",2018,83935,74200,5500,1216,2650
"Chemung County, NY",2019,83456,73687,5399,1247,2700
"Chenango County, NY",1990,51813,51126,391,157,456
"Chenango County, NY",1991,52160,51478,394,148,466
"Chenango County, NY",1992,52341,51695,359,147,448
"Chenango County, NY",1993,52552,51892,372,148,487
"Chenango County, NY",1994,52479,51785,405,149,509
"Chenango County, NY",1995,52127,51436,406,146,509
"Chenango County, NY",1996,52297,51589,413,153,514
"Chenango County, NY",1997,52017,51301,423,150,511
"Chenango County, NY",1998,51432,50711,425,152,510
"Chenango County, NY",1999,51286,50539,444,150,511
"Chenango County, NY",2000,51325,50271,436,149,548
"Chenango County, NY",2001,51109,50012,454,151,615
"Chenango County, NY",2002,51205,50078,455,151,658
"Chenango County, NY",2003,51393,50242,442,166,714
"Chenango County, NY",2004,51297,50141,424,162,780
"Chenango County, NY",2005,51154,49943,395,195,797
"Chenango County, NY",2006,51391,50138,421,180,870
"Chenango County, NY",2007,51463,50190,416,194,905
"Chenango County, NY",2008,51326,50028,394,192,925
"Chenango County, NY",2009,50639,49320,374,198,945
"Chenango County, NY",2010,50399,49054,365,208,934
"Chenango County, NY",2011,50182,48770,386,221,938
"Chenango County, NY",2012,49883,48417,406,222,980
"Chenango County, NY",2013,49477,47931,430,259,1013
"Chenango County, NY",2014,49319,47744,441,276,1028
"Chenango County, NY",2015,48772,47236,447,255,1022
"Chenango County, NY",2016,48315,46715,462,265,1024
"Chenango County, NY",2017,47805,46159,474,283,1049
"Chenango County, NY",2018,47445,45765,490,298,1064
"Chenango County, NY",2019,47207,45526,484,279,1087
"Clinton County, NY",1990,86160,81359,3911,671,2065
"Clinton County, NY",1991,86086,81429,3746,686,2025
"Clinton County, NY",1992,85555,80842,3801,684,2066
"Clinton County, NY",1993,86420,81748,3745,682,2073
"Clinton County, NY",1994,86445,81919,3602,673,2040
"Clinton County, NY",1995,82914,78597,3431,631,1942
"Clinton County, NY",1996,80440,76193,3380,605,1931
"Clinton County, NY",1997,80191,76030,3314,585,1937
"Clinton County, NY",1998,79926,75800,3262,585,1899
"Clinton County, NY",1999,79875,75799,3193,586,1897
"Clinton County, NY",2000,79891,75357,3092,563,1963
"Clinton County, NY",2001,80320,75550,3201,625,2043
"Clinton County, NY",2002,80707,75879,3181,664,2057
"Clinton County, NY",2003,81396,76444,3214,719,2076
"Clinton County, NY",2004,81803,76823,3182,723,2071
"Clinton County, NY",2005,82233,77081,3256,732,2099
"Clinton County, NY",2006,82547,77175,3341,810,2123
"Clinton County, NY",2007,82556,77056,3391,836,2101
"Clinton County, NY",2008,82401,76846,3397,853,2100
"Clinton County, NY",2009,82280,76612,3403,905,2128
"Clinton County, NY",2010,82096,76380,3321,971,2061
"Clinton County, NY",2011,81728,75906,3359,1005,2120
"Clinton County, NY",2012,81714,75708,3464,1049,2149
"Clinton County, NY",2013,81523,75419,3501,1084,2177
"Clinton County, NY",2014,81463,75277,3504,1139,2244
"Clinton County, NY",2015,80718,74602,3437,1139,2207
"Clinton County, NY",2016,80500,74312,3474,1143,2302
"Clinton County, NY",2017,80531,74227,3578,1147,2397
"Clinton County, NY",2018,80679,74298,3621,1165,2405
"Clinton County, NY",2019,80485,74189,3557,1156,2402
"Columbia County, NY",1990,63048,60221,2483,243,1009
"Columbia County, NY",1991,62967,60023,2582,259,1043
"Columbia County, NY",1992,63228,60190,2651,282,1096
"Columbia County, NY",1993,63428,60245,2754,325,1165
"Columbia County, NY",1994,63549,60228,2863,349,1230
"Columbia County, NY",1995,63790,60334,2964,378,1286
"Columbia County, NY",1996,63625,60059,3029,424,1339
"Columbia County, NY",1997,63505,59840,3085,459,1389
"Columbia County, NY",1998,63356,59581,3156,499,1429
"Columbia County, NY",1999,63217,59320,3217,550,1486
"Columbia County, NY",2000,63046,58646,3036,552,1603
"Columbia County, NY",2001,62953,58406,3060,648,1717
"Columbia County, NY",2002,63182,58546,3033,715,1792
"Columbia County, NY",2003,63304,58598,2995,772,1853
"Columbia County, NY",2004,63646,58856,3013,808,1970
"Columbia County, NY",2005,63717,58760,3014,878,2092
"Columbia County, NY",2006,63427,58425,2979,887,2233
"Columbia County, NY",2007,63430,58206,3047,987,2277
"Columbia County, NY",2008,63253,57986,3032,974,2324
"Columbia County, NY",2009,63023,57723,3006,990,2415
"Columbia County, NY",2010,63036,57684,2988,1015,2460
"Columbia County, NY",2011,62528,57075,3020,1047,2508
"Columbia County, NY",2012,62449,56891,3070,1063,2584
"Columbia County, NY",2013,62170,56467,3144,1087,2617
"Columbia County, NY",2014,61942,56182,3155,1093,2708
"Columbia County, NY",2015,61434,55679,3121,1106,2766
"Columbia County, NY",2016,60835,55118,3060,1133,2831
"Columbia County, NY",2017,60338,54533,3118,1143,2896
"Columbia County, NY",2018,59785,53942,3119,1156,2913
"Columbia County, NY",2019,59461,53519,3161,1206,2989
"Cortland County, NY",1990,49127,48431,356,213,416
"Cortland County, NY",1991,49280,48553,401,203,423
"Cortland County, NY",1992,49500,48784,380,208,422
"Cortland County, NY",1993,49584,48835,413,209,469
"Cortland County, NY",1994,49502,48733,422,214,474
"Cortland County, NY",1995,49123,48362,414,214,473
"Cortland County, NY",1996,48726,47935,431,221,479
"Cortland County, NY",1997,48619,47819,454,211,487
"Cortland County, NY",1998,48755,47933,471,208,515
"Cortland County, NY",1999,48734,47869,508,212,537
"Cortland County, NY",2000,48693,47384,458,216,593
"Cortland County, NY",2001,48903,47429,535,266,661
"Cortland County, NY",2002,48891,47373,564,268,698
"Cortland County, NY",2003,49475,47860,613,289,795
"Cortland County, NY",2004,49628,47943,623,299,844
"Cortland County, NY",2005,49330,47587,660,327,898
"Cortland County, NY",2006,49449,47579,713,324,947
"Cortland County, NY",2007,49624,47627,778,361,1001
"Cortland County, NY",2008,49537,47463,801,401,1089
"Cortland County, NY",2009,49358,47235,800,412,1083
"Cortland County, NY",2010,49279,47049,810,451,1123
"Cortland County, NY",2011,49380,47109,845,457,1187
"Cortland County, NY",2012,49023,46735,861,449,1178
"Cortland County, NY",2013,48905,46593,848,463,1242
"Cortland County, NY",2014,48740,46358,857,496,1263
"Cortland County, NY",2015,48290,45937,862,477,1233
"Cortland County, NY",2016,47915,45512,886,474,1275
"Cortland County, NY",2017,47815,45347,918,493,1288
"Cortland County, NY",2018,47722,45139,955,515,1314
"Cortland County, NY",2019,47581,44958,993,504,1354
"Delaware County, NY",1990,47464,46687,475,189,516
"Delaware County, NY",1991,47733,46898,544,184,551
"Delaware County, NY",1992,48021,47185,531,193,583
"Delaware County, NY",1993,48387,47502,572,196,651
"Delaware County, NY",1994,48526,47618,583,206,690
"Delaware County, NY",1995,48638,47695,603,216,735
"Delaware County, NY",1996,48342,47384,607,224,764
"Delaware County, NY",1997,47878,46921,582,231,800
"Delaware County, NY",1998,47999,46980,627,240,853
"Delaware County, NY",1999,48069,47001,644,259,906
"Delaware County, NY",2000,47864,46453,601,267,979
"Delaware County, NY",2001,47771,46255,679,296,1031
"Delaware County, NY",2002,47666,46099,705,314,1071
"Delaware County, NY",2003,47930,46342,691,334,1145
"Delaware County, NY",2004,48283,46624,735,337,1228
"Delaware County, NY",2005,48377,46681,759,336,1358
"Delaware County, NY",2006,48271,46505,779,348,1445
"Delaware County, NY",2007,48450,46600,814,374,1496
"Delaware County, NY",2008,48363,46505,798,377,1546
"Delaware County, NY",2009,48182,46257,820,412,1557
"Delaware County, NY",2010,47888,45981,815,380,1562
"Delaware County, NY",2011,47584,45649,816,381,1555
"Delaware County, NY",2012,47215,45245,813,396,1561
"Delaware County, NY",2013,46803,44753,879,394,1609
"Delaware County, NY",2014,46562,44541,860,407,1690
"Delaware County, NY",2015,45891,43854,875,422,1735
"Delaware County, NY",2016,45393,43307,880,440,1734
"Delaware County, NY",2017,45028,42886,926,444,1730
"Delaware County, NY",2018,44526,42371,932,455,1756
"Delaware County, NY",2019,44135,41905,959,473,1761
"Dutchess County, NY",1990,260238,231673,22275,5911,9906
"Dutchess County, NY",1991,261952,232582,22751,6220,10489
"Dutchess County, NY",1992,264450,234005,23502,6513,11231
"Dutchess County, NY",1993,265585,234352,24093,6685,11887
"Dutchess County, NY",1994,264860,233104,24530,6737,12608
"Dutchess County, NY",1995,266538,233888,25266,6861,13421
"Dutchess County, NY",1996,268986,235412,25984,7020,14306
"Dutchess County, NY",1997,270935,236616,26538,7157,15155
"Dutchess County, NY",1998,273784,238513,27287,7296,16148
"Dutchess County, NY",1999,277586,241357,28017,7453,17162
"Dutchess County, NY",2000,280914,241806,27571,7309,18322
"Dutchess County, NY",2001,284712,244405,27942,7786,19572
"Dutchess County, NY",2002,287700,246313,28164,8287,20810
"Dutchess County, NY",2003,290781,248191,28490,8774,22032
"Dutchess County, NY",2004,292859,249013,28860,9295,23309
"Dutchess County, NY",2005,294362,249289,29437,9589,24961
"Dutchess County, NY",2006,294712,248694,29699,9863,26172
"Dutchess County, NY",2007,295319,248305,30087,10105,27712
"Dutchess County, NY",2008,296267,248422,30232,10345,28917
"Dutchess County, NY",2009,296887,247939,30644,10572,30316
"Dutchess County, NY",2010,297728,247764,31086,10825,31456
"Dutchess County, NY",2011,298133,247279,31603,11059,32040
"Dutchess County, NY",2012,297023,245733,31929,11054,32500
"Dutchess County, NY",2013,296268,244547,32275,11110,33023
"Dutchess County, NY",2014,295127,243128,32529,11049,33646
"Dutchess County, NY",2015,294039,241551,33059,10936,34046
"Dutchess County, NY",2016,293029,239903,33409,11020,34691
"Dutchess County, NY",2017,293545,239525,34079,10970,35646
"Dutchess County, NY",2018,293939,238985,34771,11016,36715
"Dutchess County, NY",2019,294218,238334,35456,10923,37960
"Erie County, NY",1990,969780,841653,111853,10486,22478
"Erie County, NY",1991,973280,841402,114784,11227,23481
"Erie County, NY",1992,976538,841120,117488,11913,24452
"Erie County, NY",1993,977751,839268,119894,12451,25516
"Erie County, NY",1994,977079,835576,122423,12823,26586
"Erie County, NY",1995,973927,830340,124065,13193,27510
"Erie County, NY",1996,970375,824556,125814,13628,28441
"Erie County, NY",1997,963040,816096,126564,13938,29131
"Erie County, NY",1998,956578,808469,127353,14273,29757
"Erie County, NY",1999,952546,802977,128309,14709,30512
"Erie County, NY",2000,949440,793725,126850,14331,31380
"Erie County, NY",2001,946515,789320,126803,15217,32192
"Erie County, NY",2002,943551,785000,126681,16052,33123
"Erie County, NY",2003,941846,781198,126978,17235,34072
"Erie County, NY",2004,938333,776246,126719,18292,34911
"Erie County, NY",2005,931745,768602,126245,19234,35754
"Erie County, NY",2006,925564,761283,125784,20261,36663
"Erie County, NY",2007,921887,756005,125560,21318,38000
"Erie County, NY",2008,920571,752295,126060,22323,39464
"Erie County, NY",2009,919334,749146,126228,23315,40841
"Erie County, NY",2010,919152,746643,126755,24379,41962
"Erie County, NY",2011,919843,745523,127046,25348,43018
"Erie County, NY",2012,919906,743965,127046,26381,44331
"Erie County, NY",2013,920869,742627,127660,27447,45581
"Erie County, NY",2014,921755,740970,127915,29042,46699
"Erie County, NY",2015,920644,737900,128048,30293,47958
"Erie County, NY",2016,918678,734515,127790,31419,49168
"Erie County, NY",2017,919034,732655,128049,32741,50563
"Erie County, NY",2018,919717,731347,128387,33871,52337
"Erie County, NY",2019,918702,728560,128328,35229,52969
"Essex County, NY",1990,37286,35986,1072,141,724
"Essex County, NY",1991,37593,36313,1052,142,709
"Essex County, NY",1992,37619,36337,1047,145,713
"Essex County, NY",1993,38060,36685,1127,151,749
"Essex County, NY",1994,38243,36855,1127,157,755
"Essex County, NY",1995,38262,36872,1128,159,748
"Essex County, NY",1996,38595,37138,1171,174,834
"Essex County, NY",1997,38646,37217,1131,176,819
"Essex County, NY",1998,38506,37109,1096,173,835
"Essex County, NY",1999,38664,37193,1156,180,821
"Essex County, NY",2000,38911,37198,1128,165,849
"Essex County, NY",2001,38893,37115,1159,186,883
"Essex County, NY",2002,39195,37387,1161,186,919
"Essex County, NY",2003,39334,37504,1152,206,909
"Essex County, NY",2004,39295,37423,1176,216,936
"Essex County, NY",2005,39321,37435,1156,233,967
"Essex County, NY",2006,39490,37580,1160,228,983
"Essex County, NY",2007,39373,37448,1148,228,979
"Essex County, NY",2008,39435,37467,1163,245,1003
"Essex County, NY",2009,39478,37479,1157,269,997
"Essex County, NY",2010,39360,37369,1144,266,1009
"Essex County, NY",2011,39271,37209,1168,274,1054
"Essex County, NY",2012,38875,36765,1189,280,1090
"Essex County, NY",2013,38601,36492,1162,284,1120
"Essex County, NY",2014,38323,36180,1160,279,1128
"Essex County, NY",2015,37965,35916,1073,275,1113
"Essex County, NY",2016,37671,35582,1089,274,1144
"Essex County, NY",2017,37487,35362,1090,296,1157
"Essex County, NY",2018,37288,35250,1012,297,1116
"Essex County, NY",2019,36885,34849,1021,289,1112
"Franklin County, NY",1990,46668,42370,1798,121,1095
"Franklin County, NY",1991,47886,43051,2251,128,1372
"Franklin County, NY",1992,48702,43493,2523,134,1514
"Franklin County, NY",1993,49350,43942,2589,140,1521
"Franklin County, NY",1994,49712,44171,2589,157,1519
"Franklin County, NY",1995,49965,44237,2683,165,1533
"Franklin County, NY",1996,50179,44299,2734,177,1577
"Franklin County, NY",1997,49919,43957,2756,178,1598
"Franklin County, NY",1998,49620,43597,2754,175,1589
"Franklin County, NY",1999,51061,44098,3594,185,1972
"Franklin County, NY",2000,51044,43762,3598,201,2040
"Franklin County, NY",2001,50925,43588,3576,204,1999
"Franklin County, NY",2002,50924,43613,3473,209,1950
"Franklin County, NY",2003,51228,43793,3518,207,1908
"Franklin County, NY",2004,51197,43683,3493,216,1858
"Franklin County, NY",2005,51257,43649,3434,200,1767
"Franklin County, NY",2006,51511,43846,3434,205,1776
"Franklin County, NY",2007,51782,43950,3487,202,1721
"Franklin County, NY",2008,51907,43976,3452,213,1675
"Franklin County, NY",2009,51706,43795,3358,213,1579
"Franklin County, NY",2010,51645,43709,3287,226,1525
"Franklin County, NY",2011,51545,43589,3280,226,1568
"Franklin County, NY",2012,51791,43616,3427,239,1671
"Franklin County, NY",2013,51212,43236,3216,228,1645
"Franklin County, NY",2014,51096,43086,3247,232,1700
"Franklin County, NY",2015,50540,42649,3121,232,1674
"Franklin County, NY",2016,51081,42696,3568,248,1845
"Franklin County, NY",2017,50465,42454,3220,233,1787
"Franklin County, NY",2018,50279,42271,3220,240,1828
"Franklin County, NY",2019,50022,42053,3215,241,1811
"Fulton County, NY",1990,54336,53378,648,219,401
"Fulton County, NY",1991,54744,53637,793,223,481
"Fulton County, NY",1992,54815,53714,776,236,488
"Fulton County, NY",1993,55122,53949,837,248,523
"Fulton County, NY",1994,55233,54005,885,251,565
